"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","ACMH","ACMH_ATTRIBUTES","ACSH","ACSH_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DASF","DASF_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WESD","WESD_ATTRIBUTES"
"USC00234158","INDEPENDENCE 2, MO US","39.06667","-94.38333","307.8","1987-07-18",,,,,,,,,,,,,"0.33",",,0,0700","0.0","P,,0","0.0","P,,0",,,"90",",,0","70",",,0","71",",,0,0700",,
"USC00234158","INDEPENDENCE 2, MO US","39.06667","-94.38333","307.8","1987-07-19",,,,,,,,,,,,,"0.00","P,,0,0700","0.0","P,,0","0.0","P,,0",,,"89",",,0","70",",,0","73",",,0,0700",,
"USC00234158","INDEPENDENCE 2, MO US","39.06667","-94.38333","307.8","1987-07-20",,,,,,,,,,,,,"0.00","P,,0,0700","0.0","P,,0","0.0","P,,0",,,"95",",,0","72",",,0","72",",,0,0700",,
"USC00234158","INDEPENDENCE 2, MO US","39.06667","-94.38333","307.8","1987-07-21",,,,,,,,,,,,,"0.00","P,,0,0700","0.0","P,,0","0.0","P,,0",,,"93",",,0","71",",,0","71",",,0,0700",,
"USC00234158","INDEPENDENCE 2, MO US","39.06667","-94.38333","307.8","1987-07-22",,,,,,,,,,,,,"0.00","P,,0,0700","0.0","P,,0","0.0","P,,0",,,"94",",,0","71",",,0","71",",,0,0700",,
"USC00234158","INDEPENDENCE 2, MO US","39.06667","-94.38333","307.8","1987-07-23",,,,,,,,,,,,,"0.00","P,,0,0700","0.0","P,,0","0.0","P,,0",,,"95",",,0","70",",,0","70",",,0,0700",,
"USC00234158","INDEPENDENCE 2, MO US","39.06667","-94.38333","307.8","1987-07-24",,,,,,,,,,,,,"0.00","P,,0,0700","0.0","P,,0","0.0","P,,0",,,"96",",,0","70",",,0","74",",,0,0700",,
"USC00234158","INDEPENDENCE 2, MO US","39.06667","-94.38333","307.8","1987-07-25",,,,,,,,,,,,,"0.00","P,,0,0700","0.0","P,,0","0.0","P,,0",,,"100",",,0","73",",,0","76",",,0,0700",,
"USC00234158","INDEPENDENCE 2, MO US","39.06667","-94.38333","307.8","1987-07-26",,,,,,,,,,,,,"0.00","P,,0,0700","0.0","P,,0","0.0","P,,0",,,"100",",,0","74",",,0","76",",,0,0700",,
"USC00234158","INDEPENDENCE 2, MO US","39.06667","-94.38333","307.8","1987-07-27",,,,,,,,,,,,,"0.00","P,,0,0700","0.0","P,,0","0.0","P,,0",,,"100",",,0","75",",,0","76",",,0,0700",,
"USC00234158","INDEPENDENCE 2, MO US","39.06667","-94.38333","307.8","1987-07-28",,,,,,,,,,,,,"0.00","P,,0,0700","0.0","P,,0","0.0","P,,0",,,"100",",,0","71",",,0","75",",,0,0700",,
"USC00234158","INDEPENDENCE 2, MO US","39.06667","-94.38333","307.8","1987-07-29",,,,,,,,,,,,,"0.00","P,,0,0700","0.0","P,,0","0.0","P,,0",,,"100",",,0","73",",,0","74",",,0,0700",,
"USC00234158","INDEPENDENCE 2, MO US","39.06667","-94.38333","307.8","1987-07-30",,,,,,,,,,,,,"0.00","P,,0,0700","0.0","P,,0","0.0","P,,0",,,"100",",,0","74",",,0","74",",,0,0700",,
"USC00234158","INDEPENDENCE 2, MO US","39.06667","-94.38333","307.8","1987-07-31",,,,,,,,,,,,,"0.00","P,,0,0700","0.0","P,,0","0.0","P,,0",,,"103",",,0","74",",,0","76",",,0,0700",,
"USC00234158","INDEPENDENCE 2, MO US","39.06667","-94.38333","307.8","1987-08-01",,,,,,,,,,,,,"0.00","P,,0,0700","0.0","P,,0","0.0",",,0",,,"104",",,0","75",",,0","81",",,0,0700",,
"USC00234158","INDEPENDENCE 2, MO US","39.06667","-94.38333","307.8","1987-08-02",,,,,,,,,,,,,"0.00","P,,0,0700","0.0","P,,0","0.0","P,,0",,,"104",",,0","78",",,0","79",",,0,0700",,
"USC00234158","INDEPENDENCE 2, MO US","39.06667","-94.38333","307.8","1987-08-03",,,,,,,,,,,,,"0.00","P,,0,0700","0.0","P,,0","0.0","P,,0",,,"107",",,0","78",",,0","79",",,0,0700",,
"USC00234158","INDEPENDENCE 2, MO US","39.06667","-94.38333","307.8","1987-08-04",,,,,,,,,,,,,"0.00","P,,0,0700","0.0","P,,0","0.0","P,,0",,,"108",",,0","71",",,0","72",",,0,0700",,
"USC00234158","INDEPENDENCE 2, MO US","39.06667","-94.38333","307.8","1987-08-05",,,,,,,,,,,,,"0.00","P,,0,0700","0.0","P,,0","0.0","P,,0",,,"85",",,0","62",",,0","63",",,0,0700",,
"USC00234158","INDEPENDENCE 2, MO US","39.06667","-94.38333","307.8","1987-08-06",,,,,,,,,,,,,"0.00","P,,0,0700","0.0","P,,0","0.0","P,,0",,,"90",",,0","62",",,0","64",",,0,0700",,
